prior,method,z0,coverage,theta_true
Spiky,DKW-F,-3.0,1.0,-1.838232151509295
Spiky,Gauss-F,-3.0,1.0,-1.838232151509295
Spiky,Smooth-W₁ (CLT),-3.0,1.0,-1.838232151509295
Spiky,W₁ (CLT),-3.0,1.0,-1.838232151509295
Spiky,W₁ (DKW),-3.0,1.0,-1.838232151509295
Spiky,W₁ (boot),-3.0,1.0,-1.838232151509295
Spiky,DKW-F,-2.5,1.0,-1.2703510493065493
Spiky,Gauss-F,-2.5,1.0,-1.2703510493065493
Spiky,Smooth-W₁ (CLT),-2.5,1.0,-1.2703510493065493
Spiky,W₁ (CLT),-2.5,1.0,-1.2703510493065493
Spiky,W₁ (DKW),-2.5,1.0,-1.2703510493065493
Spiky,W₁ (boot),-2.5,1.0,-1.2703510493065493
Spiky,DKW-F,-2.0,1.0,-0.8174405959520651
Spiky,Gauss-F,-2.0,1.0,-0.8174405959520651
Spiky,Smooth-W₁ (CLT),-2.0,1.0,-0.8174405959520651
Spiky,W₁ (CLT),-2.0,1.0,-0.8174405959520651
Spiky,W₁ (DKW),-2.0,1.0,-0.8174405959520651
Spiky,W₁ (boot),-2.0,1.0,-0.8174405959520651
Spiky,DKW-F,-1.5,1.0,-0.5004711519786452
Spiky,Gauss-F,-1.5,1.0,-0.5004711519786452
Spiky,Smooth-W₁ (CLT),-1.5,1.0,-0.5004711519786452
Spiky,W₁ (CLT),-1.5,1.0,-0.5004711519786452
Spiky,W₁ (DKW),-1.5,1.0,-0.5004711519786452
Spiky,W₁ (boot),-1.5,1.0,-0.5004711519786452
Spiky,DKW-F,-1.0,1.0,-0.285620268437118
Spiky,Gauss-F,-1.0,1.0,-0.285620268437118
Spiky,Smooth-W₁ (CLT),-1.0,1.0,-0.285620268437118
Spiky,W₁ (CLT),-1.0,1.0,-0.285620268437118
Spiky,W₁ (DKW),-1.0,1.0,-0.285620268437118
Spiky,W₁ (boot),-1.0,1.0,-0.285620268437118
Spiky,DKW-F,-0.5,1.0,-0.1299149880633931
Spiky,Gauss-F,-0.5,1.0,-0.1299149880633931
Spiky,Smooth-W₁ (CLT),-0.5,1.0,-0.1299149880633931
Spiky,W₁ (CLT),-0.5,1.0,-0.1299149880633931
Spiky,W₁ (DKW),-0.5,1.0,-0.1299149880633931
Spiky,W₁ (boot),-0.5,1.0,-0.1299149880633931
Spiky,DKW-F,0.0,1.0,0.0
Spiky,Gauss-F,0.0,1.0,0.0
Spiky,Smooth-W₁ (CLT),0.0,1.0,0.0
Spiky,W₁ (CLT),0.0,1.0,0.0
Spiky,W₁ (DKW),0.0,1.0,0.0
Spiky,W₁ (boot),0.0,1.0,0.0
Spiky,DKW-F,0.5,1.0,0.1299149880633931
Spiky,Gauss-F,0.5,1.0,0.1299149880633931
Spiky,Smooth-W₁ (CLT),0.5,1.0,0.1299149880633931
Spiky,W₁ (CLT),0.5,1.0,0.1299149880633931
Spiky,W₁ (DKW),0.5,1.0,0.1299149880633931
Spiky,W₁ (boot),0.5,1.0,0.1299149880633931
Spiky,DKW-F,1.0,1.0,0.285620268437118
Spiky,Gauss-F,1.0,1.0,0.285620268437118
Spiky,Smooth-W₁ (CLT),1.0,1.0,0.285620268437118
Spiky,W₁ (CLT),1.0,1.0,0.285620268437118
Spiky,W₁ (DKW),1.0,1.0,0.285620268437118
Spiky,W₁ (boot),1.0,1.0,0.285620268437118
Spiky,DKW-F,1.5,1.0,0.5004711519786452
Spiky,Gauss-F,1.5,1.0,0.5004711519786452
Spiky,Smooth-W₁ (CLT),1.5,1.0,0.5004711519786452
Spiky,W₁ (CLT),1.5,1.0,0.5004711519786452
Spiky,W₁ (DKW),1.5,1.0,0.5004711519786452
Spiky,W₁ (boot),1.5,1.0,0.5004711519786452
Spiky,DKW-F,2.0,1.0,0.8174405959520651
Spiky,Gauss-F,2.0,1.0,0.8174405959520651
Spiky,Smooth-W₁ (CLT),2.0,1.0,0.8174405959520651
Spiky,W₁ (CLT),2.0,1.0,0.8174405959520651
Spiky,W₁ (DKW),2.0,1.0,0.8174405959520651
Spiky,W₁ (boot),2.0,1.0,0.8174405959520651
Spiky,DKW-F,2.5,1.0,1.2703510493065493
Spiky,Gauss-F,2.5,1.0,1.2703510493065493
Spiky,Smooth-W₁ (CLT),2.5,1.0,1.2703510493065493
Spiky,W₁ (CLT),2.5,1.0,1.2703510493065493
Spiky,W₁ (DKW),2.5,1.0,1.2703510493065493
Spiky,W₁ (boot),2.5,1.0,1.2703510493065493
Spiky,DKW-F,3.0,1.0,1.838232151509295
Spiky,Gauss-F,3.0,1.0,1.838232151509295
Spiky,Smooth-W₁ (CLT),3.0,1.0,1.838232151509295
Spiky,W₁ (CLT),3.0,1.0,1.838232151509295
Spiky,W₁ (DKW),3.0,1.0,1.838232151509295
Spiky,W₁ (boot),3.0,1.0,1.838232151509295
